序號,班級,學號,姓名,GitHub,作業一,作業二,作業三,作業四,作業五,作業六,作業七,作業八,作業九,作業十
1,電資AI,111C71952,泎回韫,3b7sn8x1z1,2,5,3,8,10,7,4,1,8,6
2,資工所,111C53155,笾瑚衈,36b2939sqp,4,6,5,10,9,10,5,1,10,4
3,電資資安,111590203,贌爿嚁,zkbtlz9xtkk,10,5,6,7,3,4,0,1,1,3
4,電資資安,111598908,狠詋忼,4gw33n2a8w,5,1,5,2,0,5,3,3,3,3
5,創新AI,111C71775,滔颛咯,r4zdqbkfh3,8,2,6,8,5,0,4,7,10,0
6,電資AI,111C53007,蒇洜钳,rbcrp3kq1r,9,10,1,0,10,10,10,1,0,9
7,資工系,112C52377,埉了阃,9pih5e442q,1,4,6,1,9,2,4,9,4,1
8,資工系,112590207,嗺躡致,mo9mx4fyci,2,4,8,9,1,1,2,5,3,4
9,電資AI,111C52797,惓股菃,17nu9e2xl3,1,10,10,0,2,0,1,1,1,5
10,創新AI,111C53175,蛚宻矡,ozcmfchhid,10,6,5,2,10,9,10,10,6,1
11,資工所,111590618,銶槸驛,f9p7h97c3f,1,4,5,9,7,6,7,10,8,3
12,電資資安,112C52761,枤礟盢,xlk49jp54h,5,9,6,8,9,1,2,1,6,0
13,創新AI,111C71577,嶏田槮,41vlvf7kjh,1,7,7,10,8,10,9,6,8,3
14,資工系,112598031,罜淈篡,426bggccswl,3,0,5,2,3,8,8,9,1,9
15,創新AI,112C71425,乽珃诤,rmti1kkvwy,0,4,2,2,7,5,7,4,2,3
16,電資資安,112C71149,閕儿納,8f6l3jrno6,0,3,1,0,5,9,8,3,10,2
17,資工所,112C52964,菤唵总,mhf2w0ibew,9,10,8,2,7,10,5,4,10,1
18,資工所,111C52812,疨团獓,wajhmlwojh,0,3,9,10,8,0,8,6,8,6
19,電資AI,111C71474,莣瓊鮘,ofg3qrndff,6,0,8,0,1,6,2,9,9,4
20,資工系,112C52736,帜茵殠,uw9e1se0eh,9,3,2,9,3,4,0,7,9,5
21,電資資安,112590312,祋醯孟,q2skwx93jmh,0,4,7,10,6,8,1,2,1,5
